"","Hz","Frontal","Central","Parietal","Occipital","logFrontal","logCentral","logParietal","logOccipital","logHz"
"47",46.859,0.265784862385321,0.173101893939394,0.1536275,0.214189353612167,-1.32506808547104,-1.75387487555773,-1.87322443783535,-1.54089482522815,3.84714309268976
"48",47.856,0.251228669724771,0.166617803030303,0.152478409090909,0.217862357414449,-1.3813917198306,-1.79205269403243,-1.88073227268977,-1.52389180360951,3.86819650188759
"49",48.853,0.243266055045872,0.163023484848485,0.144735,0.205185551330798,-1.41359955785,-1.81386100972867,-1.93285079484168,-1.58384058078255,3.88881578909033
"50",49.85,0.238854357798165,0.159320075757576,0.141029090909091,0.197650570342205,-1.43190129439669,-1.83684004516306,-1.95878909138051,-1.62125460362658,3.90901849640785
"51",50.847,0.233562155963303,0.160872727272727,0.143118181818182,0.195878326996198,-1.45430704473381,-1.82714174045249,-1.94408454375992,-1.63026159314734,3.92882112370403
"52",51.844,0.228380275229358,0.15483446969697,0.138443636363636,0.192385551330798,-1.47674316557162,-1.8653986701533,-1.97729199384776,-1.64825384060373,3.94823920956113
"53",52.841,0.218721330275229,0.146329166666667,0.129917045454545,0.1769,-1.51995682393269,-1.92189662878456,-2.04085914409471,-1.7321706778164,3.96728740453182
"54",53.838,0.206754128440367,0.141554545454545,0.125256363636364,0.171424714828897,-1.57622497700507,-1.95507015593313,-2.07739273283186,-1.76361108934585,3.98597953754398
"55",54.835,0.201597247706422,0.134825378787879,0.116704090909091,0.170074904942966,-1.60148339512801,-2.00377482828474,-2.14811368538466,-1.77151632166361,4.00432867621217
"56",55.832,0.192099311926606,0.129891287878788,0.115221136363636,0.162657794676806,-1.64974279106409,-2.04105742546245,-2.16090207217111,-1.81610670420578,4.02234718171485
"57",56.829,0.179748623853211,0.124986742424242,0.10893,0.152997718631179,-1.71619593830341,-2.07954760791072,-2.21704980488778,-1.8773322686082,4.04004675881425
"58",57.826,0.161649311926606,0.116640151515152,0.0993320454545455,0.143415969581749,-1.82232603138266,-2.14866171172442,-2.30928704645159,-1.94200599312765,4.05743850152612
"59",58.823,0.123997706422018,0.0884761363636364,0.0758920454545454,0.109536882129278,-2.08749221014479,-2.4250224089378,-2.57844340304318,-2.21149396333932,4.07453293488542
"60",59.82,0.0389896788990826,0.0269988636363636,0.0233181818181818,0.0388634980988593,-3.24445831149006,-3.6119605014056,-3.75852188716968,-3.24769982110019,4.0913400532018
"61",60.817,0.00306582568807339,0.00211893939393939,0.00189795454545455,0.00347566539923954,-5.78743835335374,-6.15683960136059,-6.26697852773526,-5.66196933650013,4.10786935515301
"62",61.814,0.000667431192660551,0.000437121212121212,0.000420681818181818,0.000946768060836502,-7.31207425515968,-7.73530002805445,-7.77363378631499,-6.96245641469519,4.12412987602479
"63",62.811,0.000551146788990826,0.000364772727272727,0.000343181818181818,0.000782889733840304,-7.50350937958875,-7.91623606332437,-7.97725016907952,-7.15251869712616,4.14013021737123
"64",63.808,0.00252866972477064,0.00170113636363636,0.00154590909090909,0.00273117870722433,-5.98006191501017,-6.37645880203476,-6.47214313332135,-5.90302200207915,4.15587857433937
